iso_code,countryname,gdp_per_capita,population,deaths_rate,diagnosed_rate,fatality_rate,human_development_index,aged_65_older,population_density
BRA,Brazil,14103.452,213993441,0.00277883750651965076,0.09984602752380620862,0.02783122749532618862,0.765,8.552,25.04
BRB,Barbados,16978.068,287708,0.00023635074450484519,0.02698569382846497143,0.00875837197320968573,0.814,14.952,664.463
BRN,Brunei,71809.251,441532,0.000086063977242872543779,0.01517443809282226430,0.00567164179104477612,0.838,4.591,81.347
BTN,Bhutan,8708.597,779900,0.000003846647006026413643,0.00333247852288754969,0.00115429011158137745,0.654,4.885,21.188
BWA,Botswana,15807.374,2397240,0.00098738549331731491,0.07427291385092856785,0.01329401853411962932,0.735,3.941,4.044
CAF,Central African Republic,661.24,4919987,0.000020325256956979764377,0.00231118496857816901,0.00879430129276229004,0.397,3.655,7.479
CAN,Canada,44017.591,38067913,0.00072898664027103351,0.04256963075438361961,0.01712457043560251941,0.929,16.984,4.037
CHE,Switzerland,57410.166,8715494,0.00126900437313134517,0.09597654476040027106,0.01322202603041544180,0.955,18.436,214.243
CHL,Chile,22767.037,19212362,0.00194900554132802619,0.08600525016132841969,0.02266147168541556219,0.851,11.087,24.282
CHN,China,15308.712,1444216102,0.000003212123167423319588,0.000066574524315890780727,0.04824853351083745892,0.761,10.641,147.674
CIV,Cote d'Ivoire,3601.006,27053629,0.000022436915949427708941,0.00221696689933908682,0.01012054620938026243,0.538,2.933,76.399
CMR,Cameroon,3364.926,27224262,0.000050249296013974593691,0.00313742205390177335,0.01601610977123188236,0.563,3.165,50.885
COD,Democratic Republic of Congo,808.133,92377986,0.000011734397413686849592,0.00061553625990503841,0.01906369807604375506,0.48,3.02,35.879
COG,Congo,4881.406,5657017,0.000034116920631491826876,0.00251793480556979058,0.01354956472900870542,0.574,3.402,15.405
COL,Colombia,13254.949,51265841,0.00246124900204016940,0.09660799283483908905,0.02547666015841896020,0.767,7.646,44.223
COM,Comoros,1413.89,888456,0.00016545557686593371,0.00464626272994948540,0.03561046511627906977,0.554,2.963,437.352
CPV,Cape Verde,6222.554,561901,0.00059797010505409316,0.06668790409698505609,0.00896669513236549957,0.665,4.46,135.58
CRI,Costa Rica,15524.995,5139053,0.00122143126369780580,0.10235329349590284436,0.01193348276327521535,0.81,9.468,96.079
CYP,Cyprus,32415.132,888005,0.00062274424130494761,0.13308596235381557536,0.00467926316412959782,0.887,13.416,127.657
CZE,Czechia,32605.906,10724553,0.00283965215146962302,0.15754689263039681001,0.01802417111539872871,0.9,19.027,137.176
DEU,Germany,45229.245,83900471,0.00111452294469240822,0.05016775174003492781,0.02221592369671601849,0.947,21.453,237.016
