iso_code,countryname,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,smoking_rate,death_rate
NER,Niger,926,238.339,2.42,7.75,3.35559
KEN,Kenya,2993.028,218.637,2.92,10.8,2.05581
JPN,Japan,39002.223,79.37,5.72,22.45,1.03266
COM,Comoros,1413.89,261.516,11.88,14,3.56105
MNG,Mongolia,11840.846,460.043,4.82,26,0.41550
SMR,San Marino,56861.47,,5.64,,1.67649
MEX,Mexico,17336.469,152.783,13.06,14.15,7.58225
QAT,Qatar,116935.6,176.69,16.52,13.85,0.25594
UZB,Uzbekistan,6253.104,724.417,7.57,13,0.71017
TCD,Chad,1768.153,280.995,6.1,,3.45650
ETH,Ethiopia,1729.927,182.634,7.47,4.45,1.58893
